"","ADAL","ADAR","ADEL","ADER","ADFL","ADFR","ADLL","ADLR","AFDL","AFDR","AIAL","AIAR","AIBL","AIBR","AIML","AIMR","AINL","AINR","AIYL","AIYR","AIZL","AIZR","ALA","ALML","ALMR","AQR","ASEL","ASER","ASGL","ASGR","ASHL","ASHR","ASIL","ASIR","ASJL","ASJR","ASKL","ASKR","AUAL","AUAR","AVHL","AVHR","AVJL","AVJR","AVKL","AVKR","AVL","AWAL","AWAR","AWBL","AWBR","AWCL","AWCR","BAGL","BAGR","BDUL","BDUR","CEPDL","CEPDR","CEPVL","CEPVR","DVA","DVC","FLPL","FLPR","IL1DL","IL1DR","IL1L","IL1R","IL1VL","IL1VR","IL2DL","IL2DR","IL2L","IL2R","IL2VL","IL2VR","OLLL","OLLR","OLQDL","OLQDR","OLQVL","OLQVR","PVCL","PVCR","PVPL","PVPR","PVQL","PVQR","PVR","PVT","RIAL","RIAR","RIBL","RIBR","RICL","RICR","RIFL","RIFR","RIGL","RIGR","RIH","RIML","RIMR","RIR","RIS","RIVL","RIVR","RMDDL","RMDDR","RMDL","RMDR","RMDVL","RMDVR","RMED","RMEV","RMGL","RMGR","RMHL","RMHR","SAADL","SAADR","SAAVL","SAAVR","SDQR","SMBDL","SMBDR","SMBVL","SMBVR","SMDDL","SMDDR","SMDVL","SMDVR","URADL","URADR","URAVL","URAVR","URBL","URBR","URXL","URXR","URYDL","URYDR","URYVL","URYVR","AVAL","AVBL","AVBR","AVDR","RIPL","AVEL","RIPR","AVAR","AVDL","SIBDL","RID","AVER","SIADL","RMEL","RMER","SIBVL","SIBVR","SIBDR","SIAVR","SIAVL","SIADR","ALNR","ALNL"
"ADAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299604343781094,0,0,0,0,0,0,0.0182746916428329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257466437148248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223086207667714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033091302933607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318355851566392,0.0222163052768963,0.0267888715354086,0.0256653754958651,0.0425374362899905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242771794840983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484362435174549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387984925593122,0,0,0,0,0,0,0,0,0,0,0,0,0.0202125324872188,0.0153593501220551,0,0,0,0,0,0,0.0209672431831923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437788857386255,0,0,0,0,0,0,0,0,0,0,0,0.0241592024266246,0.0208717678208807,0,0,0.0315260445923783,0.0401725419518731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00632606918828746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113441769960958,0,0.0209466057207069,0,0,0,0,0,0.00901749469174366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254396605906751,0,0,0,0,0,0,0,0,0,0,0,0.0305773332615947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223002950474456,0,0,0,0.0300347730363282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00380787091102101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266162660032005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279531984174553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADFL",0.029335487963067,0,0,0,0,0.0113586400498145,0,0,0.00189802029675001,0,0,0,0,0,0,0,0,0,0,0,0.011347118952211,0.0154342844631886,0,0,0,0,0,0,0,0,0.00439405167883242,0,0,0,0,0,0,0,0.007318734659463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253247398185055,0,0,0,0,0,0,0,0,0,0,0,0.0126840009645518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104243059975832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADFR",0,0,0,0,0.0113586400498145,0,0,0,0,0.00150809507844333,0,0.0136062597525229,0,0,0,0,0,0,0,0,0,0.00996021229771861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00661376182077001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277554189810297,0,0,0,0,0,0,0,0.0468337740046179,0,0,0,0.00863247193197001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013289998761992,0,0,0,0,0,0,0,0,0,0,0,0.00525272957167271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADLL",0.0269040886849704,0,0,0,0,0,0,0,0,0,0.0132859854175603,0,0.00741301723427276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00645706638352511,0,0,0,0.00937575823433764,0,0.00316232030368921,0,0,0,0,0,0.00640699555417748,0,0,0,0,0,0,0,0,0.00779161997256508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199133756904907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00809463658368151,0,0,0.0122685176175139,0,0,0,0,0.00750721458623303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADLR",0,0.02512249640045,0,0,0,0,0,0,0,0,0,0.0135359155322747,0,0.00657574583935161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609366223782956,0,0,0,0,0,0.00311691673824069,0,0,0,0,0,0.00575761282319982,0,0,0,0,0,0,0,0,0.00742489956371465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00716842280639542,0,0,0,0.00754739986994693,0,0.0120605879112763,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149179380167594,0,0.0113556988432571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150383315886022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892496339015601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00312345730171312,0,0,0,0,0.0162832315747098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
