"","ADAL","ADAR","ADEL","ADER","ADFL","ADFR","ADLL","ADLR","AFDL","AFDR","AIAL","AIAR","AIBL","AIBR","AIML","AIMR","AINL","AINR","AIYL","AIYR","AIZL","AIZR","ALA","ALML","ALMR","ALNL","ALNR","AQR","ASEL","ASER","ASGL","ASGR","ASHL","ASHR","ASIL","ASIR","ASJL","ASJR","ASKL","ASKR","AUAL","AUAR","AVFL","AVFR","AVHL","AVHR","AVJL","AVJR","AVKL","AVKR","AVL","AVM","AWAL","AWAR","AWBL","AWBR","AWCL","AWCR","BAGL","BAGR","BDUL","BDUR","CEPDL","CEPDR","CEPVL","CEPVR","DVA","DVC","FLPL","FLPR","IL1DL","IL1DR","IL1L","IL1R","IL1VL","IL1VR","IL2DL","IL2DR","IL2L","IL2R","IL2VL","IL2VR","OLLL","OLLR","OLQDL","OLQDR","OLQVL","OLQVR","PVCL","PVCR","PVPL","PVPR","PVQL","PVQR","PVR","PVT","RIAL","RIAR","RIBL","RIBR","RICL","RICR","RIFL","RIFR","RIGL","RIGR","RIH","RIML","RIMR","RIR","RIS","RIVL","RIVR","RMDDL","RMDDR","RMDL","RMDR","RMDVL","RMDVR","RMED","RMEL","RMER","RMEV","RMGL","RMGR","RMHL","RMHR","SAADL","SAADR","SAAVL","SAAVR","SDQL","SDQR","SMBDL","SMBDR","SMBVL","SMBVR","SMDDL","SMDDR","SMDVL","SMDVR","URADL","URADR","URAVL","URAVR","URBL","URBR","URXL","URXR","URYDL","URYDR","URYVL","URYVR","AVAL","AVBL","AVBR","AVEL","RIPL","SIBVL","AVER","AVAR","AVDR","AVDL","SIBDL","RID","SIAVL","SIADR","SIBVR","RIPR","SIBDR","SIADL","SIAVR","RMFL"
"ADAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321412312507237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320703807675887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634136847537412,0,0,0,0,0,0,0,0,0,0.0514399080707589,0,0,0,0,0,0,0,0,0,0.0394911871359453,0,0,0,0,0,0,0,0,0,0,0.0277879311305398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03965485168634,0.0276729416606954,0.0333685943686668,0.038795821776884,0.0529852276594618,0.0316863017704911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAR",0,0,0,0,0,0,0,0,0,0,0,0.0233977824423331,0.0355191049529158,0.0318277360472061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300235268562943,0,0,0,0,0,0,0,0,0,0,0,0,0.0302399954977365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483279468721257,0,0,0,0,0,0,0,0,0,0,0,0,0.0251770141507462,0.0191318220818582,0,0,0,0,0,0,0.0261170923860817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505140262592666,0,0,0,0,0,0,0,0,0.0411587614681704,0.0300930416191289,0.0259981669347812,0,0,0,0.0354140547448149,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADEL",0,0,0,0.0199511914748374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434897259379299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611935711231925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260913860731612,0.0289977176380961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418642351154486,0,0,0.0270008861179823,0,0,0,0,0,0,0,0,0,0,0.0483688069953793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374117348347247,0,0,0,0,0,0,0,0,0,0,0,0
"ADER",0,0.0071327343054312,0.0199511914748374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148459226899383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383039602168872,0,0,0,0.00741072065806524,0,0,0,0.0468792932702235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624422030658778,0,0,0,0,0,0,0,0,0,0.031108216982465,0.0331535944952146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142709413851408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348188962743741,0,0,0,0,0,0.0283459844722868,0.0290814412311035,0.0165946172993685,0,0,0,0,0,0,0,0,0,0,0
"ADFL",0,0,0,0,0,0,0,0,0,0,0,0,0.00548681039374198,0,0,0,0,0,0,0,0.0141341306246838,0.019225161348884,0,0,0,0,0,0,0,0.0167636064236824,0,0,0.00547329244205442,0,0,0,0,0,0,0,0.00911631861091005,0.0174835450178339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315448513528753,0,0,0,0,0,0,0,0.0560124888979848,0,0,0,0,0.0084645728332858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111900552849952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114765143479249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADFR",0,0,0,0,0,0,0,0,0,0.00187850439595573,0,0,0,0,0,0,0,0,0,0.0111524254312683,0,0.0124065802304916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00823819454867843,0,0,0.0166260138854372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635678114171824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160467976502517,0,0,0,0,0,0,0,0,0,0.00345725394325106,0,0,0,0,0,0,0,0.0583368062162785,0,0,0,0.0107527281959626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110110283388122,0,0.0165542089842357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADLL",0.0335121104672438,0,0,0,0,0,0,0,0,0,0.0165492099060839,0,0.0092337583093573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746331039778931,0,0,0,0.00804301251281198,0,0,0,0,0,0.00393903055371814,0,0,0,0,0,0,0,0.00798064358502809,0.0136672838862784,0,0,0,0,0,0,0,0,0.00970535119389685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213023166188123,0,0,0,0,0,0.6280662530142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136329071150012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100827929375682,0,0,0,0,0,0,0,0.0152818377340963,0.00935109185302711,0,0,0,0,0,0,0,0,0,0
"ADLR",0,0.0312929341128413,0,0,0,0,0,0,0,0,0,0.0168605263647632,0,0.00819084130866604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666169702126455,0,0,0,0.00759035120852454,0,0,0,0,0,0.00388247523535244,0,0,0,0,0,0,0.014766597214025,0.00717176334117872,0,0,0,0,0,0,0,0,0,0.00924855910567965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204810330782684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223429054801938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892908805708903,0.0158222856825033,0,0,0,0,0,0,0,0,0,0
"AFDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185819929682442,0,0.0141448178573904,0,0,0,0,0,0,0,0,0.0172232037588467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187319568910659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFDR",0,0,0,0,0,0.00187850439595573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111170596614224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083658915413272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIAL",0,0,0,0,0.0170915011761145,0,0,0,0,0,0,0,0.0127499684472649,0,0,0,0,0,0.00587882170512298,0,0.0093155713626433,0,0,0,0,0,0,0,0,0,0.0144122184979014,0,0.0127754661662745,0,0,0,0,0,0.0185404124204061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139800886319168,0.0140554084180032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288507371921629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIAR",0,0.0233977824423331,0,0,0,0,0,0,0,0,0,0,0,0.0130259273260342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135133059368812,0,0,0,0,0,0.0143698144967802,0,0,0,0.0187837231191995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151820461884672,0.0135546936825634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349006167459832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIBL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125484183334743,0,0,0,0,0,0,0,0.0078304261298476,0.0120357860208889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00808220185906199,0,0.0152605850810388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00773889313286306,0,0,0,0,0.0111607562411783,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173446407199205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124706888097901,0.00510297836745856,0,0,0,0,0,0,0,0.012290721516275,0.00742378763671214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00812712103565125,0.00809171280732639,0,0,0,0,0.00959891871351925,0,0,0,0.00954224712954187,0,0.014992840921795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00677176457916435,0.0121205534153251,0,0,0,0.0052882564603681,0,0,0,0,0,0,0,0,0,0,0,0
"AIML",0,0,0,0,0,0,0,0,0,0,0.0114792901770428,0,0,0,0,0,0,0,0,0,0,0,0,0.230097719463553,0,0,0,0,0,0,0.022256146655896,0,0,0,0.0208056558938159,0,0,0,0.0274831997608312,0,0,0,0.0134082688159443,0.0146475066014877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271439738578727,0,0,0,0,0,0.0173231474879892,0,0,0,0,0,0,0,0,0,0
"AIMR",0,0,0,0,0,0,0,0,0,0,0,0.00364913624411656,0,0.0149197540267509,0,0,0,0,0,0,0,0,0,0,0.216902409021964,0,0,0,0,0,0,0.0153904194696936,0,0,0,0,0,0,0,0.0204573524347757,0,0,0.022131577374732,0.0226456855431393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185244148380927,0,0,0,0,0,0,0,0,0,0,0.0233364323687903,0,0,0,0,0,0,0,0,0,0,0,0,0.0119068701426424,0,0.01817770515073,0,0,0,0,0,0,0,0,0
"AINL",0,0,0,0,0,0,0,0,0,0.0214766674941959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00835445380283774,0.0192379622832695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262407246717173,0.0301867779587562,0,0,0,0,0,0.0279106516623806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375533520387162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161719084975498,0,0,0,0,0,0,0,0,0.0156488196844243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226591559812198,0,0,0,0,0,0,0,0
