"","ADAL","ADAR","ADEL","ADER","ADFL","ADFR","ADLL","ADLR","AFDL","AFDR","AIAL","AIAR","AIBL","AIBR","AIML","AIMR","AINL","AINR","AIYL","AIYR","AIZL","AIZR","ALA","ALML","ALMR","ALNL","ALNR","AQR","ASEL","ASER","ASGL","ASGR","ASHL","ASHR","ASIL","ASIR","ASJL","ASJR","ASKL","ASKR","AUAL","AUAR","AVFL","AVFR","AVHL","AVHR","AVJL","AVJR","AVKL","AVKR","AVM","AWAL","AWAR","AWBL","AWBR","AWCL","AWCR","BAGL","BAGR","BDUL","BDUR","CEPDL","CEPDR","CEPVL","CEPVR","DVA","DVC","FLPL","FLPR","IL1DL","IL1DR","IL1L","IL1R","IL1VL","IL1VR","IL2DL","IL2DR","IL2L","IL2R","IL2VL","IL2VR","OLLL","OLLR","OLQDL","OLQDR","OLQVL","OLQVR","PVCL","PVCR","PVPL","PVPR","PVQL","PVQR","PVR","PVT","RIAL","RIAR","RIBL","RIBR","RICL","RICR","RIFL","RIFR","RIGL","RIGR","RIH","RIML","RIMR","RIR","RIS","RIVL","RIVR","RMDDL","RMDDR","RMDL","RMDR","RMDVL","RMDVR","RMED","RMEV","RMFL","RMFR","RMGL","RMGR","RMHL","RMHR","SAADL","SAADR","SAAVL","SAAVR","SDQL","SDQR","SMBDL","SMBDR","SMBVL","SMBVR","SMDDL","SMDDR","SMDVL","SMDVR","URADL","URADR","URAVL","URAVR","URBL","URBR","URXL","URXR","URYDL","URYDR","URYVL","URYVR","AVAL","AVAR","AVBL","AVBR","RIPL","AVDL","RIPR","AVDR","SIBDL","SIBVL","AVEL","SIADR","SIADL","AVER","SIAVR","RMEL","RMER","SIBVR","SIBDR","RID","SIAVL","AVL"
"ADAL",0,0,0,0,0,0,0,0,0,0,0.0292435499632505,0,0.0386840707003946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379444443185116,0,0.0356839447977396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62961567961581,0,0,0,0,0,0,0,0,0,0.023306694588814,0,0,0,0,0,0,0.0309189656241218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1464279777795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441230039890262,0.0471503454416362,0.0307910195942949,0.0371284359876716,0.0589553941563026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334064594598204,0,0,0,0,0,0,0,0,0,0,0,0,0.0336473189341012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537733493365905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290598633591613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457963683941615,0.0402754922715881,0.0334838068719885,0.0289275378570101,0,0.0334339165773788,0.0556777335824206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADEL",0.00629491555121076,0,0,0.022199213049467,0,0,0,0,0,0,0,0,0,0,0,0,0.0206230621597218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483899767478375,0,0,0,0,0,0,0,0.0573389219806778,0,0,0,0,0,0.0579078445218942,0,0,0,0.0569856757705939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290312605602779,0.0322650661043605,0,0,0,0,0,0.0271325414461699,0,0,0,0,0.0396653084494578,0,0,0,0,0,0,0,0,0,0.0328601616410834,0,0.0387577043907482,0,0,0.465813320298654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416271415766655,0,0,0,0.0230316227781908,0,0.0309074264692667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADER",0,0.00793642267787414,0.022199213049467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229147022733563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354232217022341,0,0,0,0,0,0,0,0,0,0.0521614671598262,0,0,0,0,0,0.0529510897932883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694779442563992,0,0,0,0,0,0,0,0,0,0.0346133681917568,0.0368892107763656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158789347806496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387421521926135,0.0323582233416504,0,0,0,0,0,0.0184644333331002,0.0340577125417742,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADFL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213141666928947,0,0.0157267087232397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101435094403084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178941566863495,0,0,0,0,0,0,0,0,0,0.00350992008010866,0,0,0,0,0,0,0,0.0623237552526874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012450906584713,0,0.0144477223475277,0,0,0,0,0,0,0,0,0,0,0,0.00737118976467673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127696427251558,0,0,0,0,0,0,0,0,0,0,0,0
"ADFR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138045047635047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00916644182176896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00384680368333569,0,0,0,0,0,0,0,0.0649099674800845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184194719683749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADLL",0,0,0,0,0,0,0,0,0,0,0.0184139096138116,0.019054679325644,0.0102741817808342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00830424678063881,0,0,0,0.00894926744383305,0,0,0,0,0,0.0043828649823061,0,0,0,0,0,0,0,0.00887987103122844,0.0152072595354365,0,0,0,0,0,0,0,0.0107989118918007,0.0168843153131464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709333145680218,0,0.664488951711777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151690093251422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112188822826463,0.0167499125897906,0.00884252076439462,0,0,0.0104047360054809,0,0.017003734943572,0,0,0.011044903871526,0,0,0,0,0,0,0,0,0,0,0
"ADLR",0,0.034818898519922,0,0,0,0,0,0,0,0,0,0.0187603039833281,0,0.00911375300541714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00741231077013943,0,0,0,0.00844560204892168,0,0,0,0,0,0.00431993723370202,0,0,0,0,0,0,0,0.00797984935145239,0,0,0,0,0,0,0,0,0.0102906502725168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104604313986984,0,0,0,0.0176050784354615,0,0.00993518248605681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206757386548069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012369686102146,0,0,0,0,0,0,0,0,0.0193149572712607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00432900222518134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
