"","ADAL","ADAR","ADEL","ADER","ADFL","ADFR","ADLL","ADLR","AFDL","AFDR","AIAL","AIAR","AIBL","AIBR","AIML","AIMR","AINL","AINR","AIYL","AIYR","AIZL","AIZR","ALA","ALML","ALMR","ALNL","ALNR","AQR","ASEL","ASER","ASGL","ASGR","ASHL","ASHR","ASIL","ASIR","ASJL","ASJR","ASKL","ASKR","AUAL","AUAR","AVFL","AVFR","AVHL","AVHR","AVJL","AVJR","AVKL","AVKR","AVL","AVM","AWAL","AWAR","AWBL","AWBR","AWCL","AWCR","BAGL","BAGR","BDUL","BDUR","CEPDL","CEPDR","CEPVL","CEPVR","DVA","DVC","FLPL","FLPR","HSNL","HSNR","IL1DL","IL1DR","IL1L","IL1R","IL1VL","IL1VR","IL2DL","IL2DR","IL2L","IL2R","IL2VL","IL2VR","OLLL","OLLR","OLQDL","OLQDR","OLQVL","OLQVR","PLNL","PLNR","PVCL","PVCR","PVNL","PVNR","PVPL","PVPR","PVQL","PVQR","PVR","PVT","RIAL","RIAR","RIBL","RIBR","RICL","RICR","RIFL","RIFR","RIGL","RIGR","RIH","RIML","RIMR","RIR","RIS","RIVL","RIVR","RMDDL","RMDDR","RMDL","RMDR","RMDVL","RMDVR","RMED","RMEL","RMER","RMFL","RMFR","RMGL","RMGR","RMHL","RMHR","SAADL","SAADR","SAAVL","SAAVR","SDQL","SDQR","SMBDL","SMBDR","SMBVL","SMBVR","SMDDL","SMDDR","SMDVL","SMDVR","URADL","URADR","URAVL","URAVR","URBL","URBR","URXL","URXR","URYDL","URYDR","URYVL","URYVR","AVAL","AVBL","AVBR","AVER","RIPL","AVAR","AVDL","RIPR","SIBVR","SIBVL","AVDR","AVEL","SIBDR","SIBDL","SIADL","RID","SIADR","SIAVL","SIAVR","RMEV"
"ADAL",0,0,0,0,0,0,0,0,0,0,0.0425697246300481,0,0.0563122548170301,0.0604464904119751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519449829334184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972746596482135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440185268434639,0,0,0,0,0,0.0450086208452406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665451977189423,0,0,0,0,0,0.0642296893511141,0.0448223702954925,0.0540477232731928,0.0654347742060032,0.0858211433920861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAR",0,0,0,0.0115530203538674,0,0,0,0,0,0,0,0,0.0575309446420468,0.051551966837024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489802743977423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977222456931107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407796708075467,0,0,0.0282937615004395,0,0,0,0,0.0423023327380196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513175238824115,0,0,0,0,0,0.0610521311916863,0,0,0,0,0,0,0,0,0,0,0.0660823034030055,0,0,0,0,0,0,0,0,0.0619688726990717,0,0,0,0,0.0666655995611211,0.0487422505098567,0.04210970700704,0.0573607928965313,0,0.0586288811548434,0.0486696253974502,0.0810498653414983,0,0,0,0,0,0,0,0,0,0,0,0
"ADEL",0.0091634846631549,0,0,0.0323153101353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360529035351718,0,1.0012649040376,0,0.0308074897359088,0,0,0,0,0,0,0,0,0.0350737539481537,0,0,0,0,0,0,0,0,0,0,0,0.0127631220465449,0.0275903925335659,0,0,0,0,0,0,0,0,0,0,0.144758763105047,0,0.0594231916696093,0,0,0,0,0,0,0,0,0,0,0,0.0834680509845309,0,0,0,0,0,0.0842962293673144,0,0,0,0.0829538318179531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422606957523034,0.04696813420255,0.0607623564240487,0,0,0,0,0,0.0454754005402578,0,0,0.0538208926708823,0.0577406388821221,0,0,0,0,0.0762292492922254,0,0.0463979686255565,0,0,0,0,0,0.0564194431004563,0.0579455750744017,0,0,0,0,0.0437338296277178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605964719153991,0,0,0.0524548969726016,0,0,0,0,0,0,0,0,0,0,0
"ADER",0,0.0115530203538674,0.0323153101353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00768254657486696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240462128076466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515654493133787,0,0.0620416257034088,0.98868017066492,0.99168077494214,0.0318547178180191,0,0,0,0,0,0,0.0759312496630381,0,0,0,0,0,0.0770807003320019,0,0,0,0.0742741852603834,0,0,0,0,0,0,0,0,0,1.03053637639467,0.932573504603198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503865486335701,0.0536994840415448,0.0545253546741674,0,0,0,0,0.0400879550566626,0.0326170682288239,0,0,0.0548445982341812,0.0448844729294692,0,0,0,0,0,0.0409614382729736,0.0406078458782906,0,0.0191028444176188,0.0417194423959396,0,0.0466794322053688,0,0,0,0,0,0,0,0,0.027514425932136,0,0,0,0,0,0,0,0,0,0.0711691442231331,0,0,0,0,0,0,0.0563968038246905,0,0.0306765093416873,0.0459125100607462,0,0.0471037428391113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADFL",0.0591856336096966,0,0,0,0,0,0,0,0,0,0,0,0.0088870872574694,0,0,0,0,0,0,0,0.0228933101667414,0.031139345846784,0,0,0,0,0,0,0,0.0271523202637109,0,0,0,0,0,0,0,0,0,0,0.0147658681726008,0,0,0,0,0.0271269961895088,0,0,0,0,0,0,0,0,0.00507321427942877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260484559358252,0,0,0,0,0,0,0,0,0,1.02436895491143,0,0,0,0.00510937733180375,0,0,0,0,0.0339146252674455,0,0,0.0907244538488487,0.0951903111268257,0,0,0,0.0137102236032094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018124737433443,0,0.0210314945565276,0,0,0,0,0,0,0,0,0,0,0,0.0107302129485801,0,0,0,0.0312557625249429,0,0,0,0,0,0,0,0,0,0,0.0185887204226952,0,0,0,0,0,0,0,0,0,0
"ADFR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324572125134095,0.0200951651620639,0,0,0,0,0,0,0,0,0,0.00808438804598868,0,0,0,0,0,0,0,0,0,0.0133435545506763,0,0,0.0269294591102152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00559977751371652,0,0,0,0,0,0,0,0.0944891931672116,0,0,0,0.0174163907399395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268131553970015,0,0,0,0,0,0,0,0,0,0,0.019014865083419,0.0105976122937257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADLL",0,0,0,0,0,0,0,0,0,0,0.0268050582985866,0,0.0149560874024801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120884605034616,0,0,0,0.0130274146334278,0,0,0,0,0,0.00638011991095192,0,0,0,0,0,0,0,0.01292639453913,0.0221371499566481,0,0,0,0,0,0,0.00896693557430575,0,0.0157199350323681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580560848636498,0.56527914348383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05690505381888,0,0,0,1.01729040981173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220814692707766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163312843354978,0,0,0,0,0,0.0151461346915228,0,0,0,0.0247522723862123,0.0160780246231075,0.0225535320906865,0,0,0,0,0,0,0
"ADLR",0,0,0,0,0,0,0,0,0,0,0,0.02730930326687,0,0.0132668556407971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107900726400764,0,0,0,0.0122942308307088,0,0,0,0,0,0,0,0,0,0,0,0,0.0239177278818714,0.0116162363976839,0,0,0,0,0,0,0,0,0,0.0149800605232839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97527017339007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267142503082391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118067240342897,0.0147970289854712,0,0.015227210263928,0,0,0,0,0.0144626074164118,0,0,0.024332765084154,0,0,0,0,0,0
"AFDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300975942443391,0.0185658064079674,0,0,0,0,0,0,0,0,0,0.027896738482639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180065050854025,0,0,0,0,0,0,0,0,0.0281167099518351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
