"","ADAL","ADAR","ADEL","ADER","ADFL","ADFR","ADLL","ADLR","AFDL","AFDR","AIAL","AIAR","AIBL","AIBR","AIML","AIMR","AINL","AINR","AIYL","AIYR","AIZL","AIZR","ALA","ALML","ALMR","ALNL","ALNR","AQR","ASEL","ASER","ASGL","ASGR","ASHL","ASHR","ASIL","ASIR","ASJL","ASJR","ASKL","ASKR","AUAL","AUAR","AVFL","AVFR","AVHL","AVHR","AVJL","AVJR","AVKL","AVKR","AVL","AVM","AWAL","AWAR","AWBL","AWBR","AWCL","AWCR","BAGL","BAGR","BDUL","BDUR","CEPDL","CEPDR","CEPVL","CEPVR","DVA","DVC","FLPL","FLPR","HSNL","HSNR","IL1DL","IL1DR","IL1L","IL1R","IL1VL","IL1VR","IL2DL","IL2DR","IL2L","IL2R","IL2VL","IL2VR","OLLL","OLLR","OLQDL","OLQDR","OLQVL","OLQVR","PLNL","PLNR","PVCL","PVCR","PVNL","PVNR","PVPL","PVPR","PVQL","PVQR","PVR","PVT","RIAL","RIAR","RIBL","RIBR","RICL","RICR","RIFL","RIFR","RIGL","RIGR","RIH","RIML","RIMR","RIR","RIS","RIVL","RIVR","RMDDL","RMDDR","RMDL","RMDR","RMDVL","RMDVR","RMED","RMEL","RMEV","RMFL","RMFR","RMGL","RMGR","RMHL","RMHR","SAADL","SAADR","SAAVL","SAAVR","SDQL","SDQR","SMBDL","SMBDR","SMBVL","SMBVR","SMDDL","SMDDR","SMDVL","SMDVR","URADL","URADR","URAVL","URAVR","URBL","URBR","URXL","URXR","URYDL","URYDR","URYVL","URYVR","AVAL","AVAR","AVBL","AVBR","AVDR","RIPL","RIPR","AVER","SIADL","SIBVR","AVDL","AVEL","SIBVL","SIBDL","RID","SIBDR","SIADR","RMER","SIAVL","SIAVR"
"ADAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433625681391797,0.0519449829334184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833181609596799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450086208452406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536780304839944,0,0,0,0,0,0.0601722887872036,0,0,0,0,0,0,0,0,0,0,0,0,0.0695770582081928,0,0,0,0,0,0,0,0,0,0,0,0,0.0642296893511141,0.0686365788074451,0.0448223702954925,0.0540477232731928,0.0517810207372716,0.0858211433920861,0.0882749976392134,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489802743977423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309881625269533,0,0,0,0,0,0,0.0423023327380196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513175238824115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660823034030055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666655995611211,0.0586288811548434,0.0487422505098567,0.04210970700704,0,0,0.0810498653414983,0.0573607928965313,0,0,0,0,0,0,0,0,0,0,0,0
"ADEL",0.0091634846631549,0,0,0.0323153101353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0012649040376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275903925335659,0,0,0,0,0,0,0,0,0,0,0,0,0.0594231916696093,0,0.0704411053924216,0,0,0,0,0,0,0,0,0,0.0834680509845309,0,0,0,0,0,0.0842962293673144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924894034301405,0,0,0,0,0,0,0.022887374641246,0,0.0422606957523034,0.04696813420255,0,0,0,0,0,0.0394967375482219,0.0454754005402578,0,0.0494365445901676,0.0538208926708823,0,0,0,0,0,0,0,0.0463979686255565,0,0,0,0.0478344125155011,0,0.0564194431004563,0,0,0.678082681447408,0,0,0.0437338296277178,0,0,0,0.0522501075469886,0.0553942093833203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552541305229188,0.0605964719153991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADER",0,0.0115530203538674,0.0323153101353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252782443747954,0,0,0,0,0,0,0.333568450814681,0,1.01131696792378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176932893462642,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515654493133787,0,0.0620416257034088,0,0,0.0318547178180191,0,0,0,0,0,0,0.0759312496630381,0,0,0,0,0,0.0770807003320019,0,0,0,0.0742741852603834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01138779613746,0.931637358969747,0,0,0,0,0,0,0,0,0.0503865486335701,0.0536994840415448,0,0,0,0,0,0,0.0326170682288239,0,0,0.0548445982341812,0.0448844729294692,0,0,0,0,0,0.0409614382729736,0,0,0,0,0,0.0466794322053688,0,0.0577025284798574,0,0,0,0,0,0,0.027514425932136,0,0,0,0,0,0,0,0,0,0.0711691442231331,0,0,0,0,0,0,0.0563968038246905,0.0471037428391113,0,0,0.0268786054848926,0,0,0.0459125100607462,0.0442434804607555,0,0,0,0,0,0,0,0,0,0,0
"ADFL",0,0,0,0,0,0,0,0,0,0,0.027683417397932,0,0.0088870872574694,0.021482397463534,0,0,0,0,0.0310269515149732,0,0.0228933101667414,0,0,0,0,0,0,0,0,0,0,0,0.00886519198360927,0,0,0,0,0,0,0,0,0,0,0,0,0.0271269961895088,0,0,0,0,0,0,0,0,0.00507321427942877,0,0,0,0,0.0311429158088662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260484559358252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00510937733180375,0,0,0,0,0,0,0,0.0907244538488487,0,0,0,0,0.0137102236032094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210314945565276,0,0,0,0,0,0,0,0,0,0,0,0.0107302129485801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADFR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200951651620639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133435545506763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00464743994548341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259912919687176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00559977751371652,0,0,0,0,0,0,0,0.0944891931672116,0.0201435762480871,0,0,0.0174163907399395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178347642107521,0,0.0268131553970015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167112141778171,0,0,0,0,0,0,0,0,0,0
"ADLL",0.0542801789258174,0,0,0,0,0,0,0,0,0,0.0268050582985866,0,0.0149560874024801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120884605034616,0,0.00676344895721665,0,0.0130274146334278,0,0,0,0,0,0.00638011991095192,0,0,0,0,0,0,0.0207787678874825,0.01292639453913,0.0221371499566481,0,0,0,0,0.00867195033751059,0,0.00896693557430575,0,0.0157199350323681,0.0245784336836941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03257356649652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220814692707766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163312843354978,0,0.0128720238975365,0,0.0247522723862123,0,0,0,0,0,0.0151461346915228,0.0160780246231075,0,0,0,0,0,0,0,0
"ADLR",0,0,0,0,0,0,0,0,0,0,0,0.02730930326687,0,0.0132668556407971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107900726400764,0,0,0,0.0122942308307088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116162363976839,0,0,0,0,0,0.0076893486090338,0,0.007607417869463,0,0.0149800605232839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331735042817024,0,0,0,1.03120679196395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267142503082391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386774515070231,0.0254492273412303,0.015227210263928,0,0,0.0144626074164118,0,0,0,0,0,0.025627645823773,0,0,0,0,0,0,0,0,0
"AFDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331968955979885,0.0300975942443391,0,0.022910620473238,0,0,0,0,0,0,0,0,0.027896738482639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00679089058385387,0,0,0,0,0.0303404935559518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180065050854025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328521338788004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
