pre	post	type	synapses
ADAL	ADAR	electrical	1
ADAL	AIBR	chemical	1
ADAL	ASHL	electrical	2
ADAL	AVAR	chemical	2
ADAL	AVBL	chemical	1
ADAL	AVBR	chemical	2
ADAL	AVDL	electrical	1
ADAL	AVDR	chemical	1
ADAL	AVDR	electrical	1
ADAL	AVJR	chemical	1
ADAL	PVPL	chemical	1
ADAL	RICR	chemical	1
ADAL	RID	chemical	1
ADAL	RIML	chemical	2
ADAL	SMDDL	chemical	1
ADAR	ADFR	electrical	1
ADAR	ALMR	electrical	1
ADAR	ASHR	chemical	2
ADAR	ASHR	electrical	1
ADAR	ASKR	electrical	1
ADAR	AVAL	chemical	1
ADAR	AVAR	chemical	1
ADAR	AVBL	chemical	2
ADAR	AVBR	chemical	3
ADAR	AVDL	chemical	1
ADAR	AVDL	electrical	1
ADAR	AVER	electrical	1
ADAR	AVJL	chemical	1
ADAR	RICL	chemical	1
ADAR	RIMR	chemical	2
ADEL	ADAL	chemical	2
ADEL	ADER	chemical	1
ADEL	AVAL	chemical	1
ADEL	AVAR	chemical	2
ADER	ADAR	chemical	1
ADER	AVAL	chemical	1
ADER	FLPL	chemical	1
ADFL	ADFR	electrical	1
ADFL	AIAL	electrical	1
ADFL	AIYL	chemical	1
ADFL	AIZL	chemical	5
ADFL	AUAL	chemical	1
ADFL	AVHR	chemical	2
ADFL	RIAL	chemical	4
ADFL	RIH	electrical	1
ADFL	RIR	chemical	2
ADFL	SIBDL	chemical	1
ADFL	SIBVL	chemical	1
ADFL	SMBDL	chemical	1
ADFL	SMBVL	chemical	1
ADFR	AIAR	electrical	1
ADFR	AIZR	chemical	4
ADFR	AUAR	chemical	2
ADFR	AVHL	chemical	1
ADFR	DVA	chemical	1
ADFR	RIAR	chemical	3
ADFR	RIH	electrical	1
ADFR	RIR	chemical	1
ADLL	ADLR	electrical	1
ADLL	AIAL	chemical	1
ADLL	AIBL	chemical	1
ADLL	ASKL	chemical	1
ADLL	AVDL	chemical	1
ADLL	AVJL	chemical	1
ADLL	OLLL	chemical	1
ADLL	RMGL	electrical	1
ADLR	AIAR	chemical	3
ADLR	AIBR	chemical	1
ADLR	ASKR	chemical	4
ADLR	AVDL	chemical	1
ADLR	AVJR	chemical	1
ADLR	AWCR	chemical	1
ADLR	OLLR	chemical	1
ADLR	RMGR	electrical	1
ADLR	SMBVR	chemical	1
AFDL	AFDR	electrical	1
AFDL	AIYL	chemical	3
AFDR	AIYR	chemical	2
AFDR	AIZR	electrical	1
AIAL	ADAL	chemical	1
AIAL	AIBL	chemical	6
AIAL	AINR	electrical	1
AIAL	ASJL	electrical	1
AIAL	ASKL	chemical	4
AIAL	AWBL	electrical	1
AIAL	AWBR	electrical	1
AIAL	AWCL	chemical	1
AIAL	PVQL	chemical	1
AIAL	RIFL	chemical	2
AIAR	ADFR	chemical	1
AIAR	AIBR	chemical	4
AIAR	AINL	electrical	1
AIAR	ASHR	chemical	1
AIAR	ASIR	electrical	1
AIAR	ASJR	electrical	2
AIAR	ASKR	chemical	1
AIAR	AWBR	electrical	1
